x,y,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE,SNOW_ON_GROUND_FLAG,HEATING_DEGREE_DAYS,SNOW_ON_GROUND,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,LOCAL_DAY,DIRECTION_MAX_GUST_FLAG,MEAN_TEMPERATURE,TOTAL_SNOW_FLAG,LOCAL_YEAR,TOTAL_RAIN,TOTAL_SNOW,MEAN_TEMPERATURE_FLAG,MAX_REL_HUMIDITY_FLAG,LOCAL_DATE,SPEED_MAX_GUST,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,TOTAL_PRECIPITATION,LOCAL_MONTH,DIRECTION_MAX_GUST,TOTAL_RAIN_FLAG,ID,MIN_REL_HUMIDITY,MAX_TEMPERATURE,CLIMATE_IDENTIFIER,PROVINCE_CODE,MIN_TEMPERATURE_FLAG,TOTAL_PRECIPITATION_FLAG,COOLING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG
-120.80083472222222,50.11416777777778,,-9.5,,24.8,5,,,,4,,-6.8,T,1996,0,0,,,1996-03-04 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.4,,-4,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-16,,27,2,,,,5,,-9,,1996,0,0,,,1996-03-05 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.5,,-2,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-10,,20.8,0,,,,6,,-2.8,,1996,0,0,,,1996-03-06 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.6,,4.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-3,,18.5,0,,,,7,,-0.5,T,1996,0,0,,,1996-03-07 00:00:00,,,MERRITT STP,0,3,,T,1125079.1996.3.7,,2,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-2,,16,0,,,,8,,2,,1996,3,0,,,1996-03-08 00:00:00,,,MERRITT STP,3,3,,E,1125079.1996.3.8,,6,1125079,BC,,E,0,
-120.80083472222222,50.11416777777778,,2.5,,11.2,0,,,,9,,6.8,,1996,0,0,,,1996-03-09 00:00:00,,,MERRITT STP,0,3,,T,1125079.1996.3.9,,11,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,4,,8.2,0,,,,10,,9.8,,1996,0,0,,,1996-03-10 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.10,,15.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,2.5,,9.7,0,,,,11,,8.3,,1996,0,0,,,1996-03-11 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.11,,14,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-2,,15,0,,,,12,,3,,1996,0,0,,,1996-03-12 00:00:00,,,MERRITT STP,0,3,,T,1125079.1996.3.12,,8,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-3,,14,0,,,,13,,4,,1996,0,0,,,1996-03-13 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.13,,11,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-3,,12,0,,,,14,,6,,1996,2.6,0,,,1996-03-14 00:00:00,,,MERRITT STP,2.6,3,,,1125079.1996.3.14,,15,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,5,,10.5,0,,,,15,,7.5,,1996,0,0,,,1996-03-15 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.15,,10,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,0,,14,0,,,,16,,4,,1996,0,0,,,1996-03-16 00:00:00,,,MERRITT STP,0,3,,T,1125079.1996.3.16,,8,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-4,,13.5,0,,,,17,,4.5,,1996,0,0,,,1996-03-17 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.17,,13,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-3.5,,12,0,,,,18,,6,,1996,0.6,0,,,1996-03-18 00:00:00,,,MERRITT STP,0.6,3,,,1125079.1996.3.18,,15.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,5,,10.2,0,,,,19,,7.8,,1996,0,0,,,1996-03-19 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.19,,10.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,1,,11.7,0,,,,20,,6.3,,1996,0,0,,,1996-03-20 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.20,,11.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-3,,13.5,0,,,,21,,4.5,,1996,0,0,,,1996-03-21 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.21,,12,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-2,,14,0,,,,22,,4,,1996,0,0,,,1996-03-22 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.22,,10,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-2,,16,0,,,,23,,2,,1996,0,0,,,1996-03-23 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.23,,6,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-8,,19.5,0,,,,24,,-1.5,,1996,0,0,,,1996-03-24 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.24,,5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-10,,18.5,0,,,,25,,-0.5,,1996,0,0,,,1996-03-25 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.25,,9,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-5,,16.7,0,,,,26,,1.3,,1996,0,0,,,1996-03-26 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.26,,7.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-6.5,,17.5,0,,,,27,,0.5,,1996,0,0,,,1996-03-27 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.27,,7.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-8.5,,18,0,,,,28,,0,,1996,0,0,,,1996-03-28 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.28,,8.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,0,,13.7,0,,,,29,,4.3,,1996,0,1.2,,,1996-03-29 00:00:00,,,MERRITT STP,1.2,3,,,1125079.1996.3.29,,8.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-4,M,16.5,,,,,30,,1.5,T,1996,0,0,,,1996-03-30 00:00:00,,,MERRITT STP,0,3,,,1125079.1996.3.30,,7,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-3,,15,0,,,,31,,3,,1996,2,0,,,1996-03-31 00:00:00,,,MERRITT STP,2,3,,,1125079.1996.3.31,,9,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,1,,13.2,0,,,,1,,4.8,,1996,1.6,0,,,1996-04-01 00:00:00,,,MERRITT STP,1.6,4,,,1125079.1996.4.1,,8.5,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,2,,13,0,,,,2,,5,,1996,0,0,,,1996-04-02 00:00:00,,,MERRITT STP,0,4,,T,1125079.1996.4.2,,8,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,-5,,15.5,0,,,,3,,2.5,,1996,0,0,,,1996-04-03 00:00:00,,,MERRITT STP,0,4,,,1125079.1996.4.3,,10,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-4,,12.5,0,,,,4,,5.5,,1996,0,0,,,1996-04-04 00:00:00,,,MERRITT STP,0,4,,,1125079.1996.4.4,,15,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,5,,6.5,0,,,,5,,11.5,,1996,0,0,,,1996-04-05 00:00:00,,,MERRITT STP,0,4,,,1125079.1996.4.5,,18,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,9,,5,0,,,,6,,13,,1996,0.6,0,,,1996-04-06 00:00:00,,,MERRITT STP,0.6,4,,,1125079.1996.4.6,,17,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,9,,4,0,,,,7,,14,,1996,0,0,,,1996-04-07 00:00:00,,,MERRITT STP,0,4,,,1125079.1996.4.7,,19,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,3,,5.5,0,,,,8,,12.5,,1996,0,0,,,1996-04-08 00:00:00,,,MERRITT STP,0,4,,,1125079.1996.4.8,,22,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,6,,6,0,,,,9,,12,,1996,0,0,,,1996-04-09 00:00:00,,,MERRITT STP,0,4,,,1125079.1996.4.9,,18,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,5,,7.5,0,,,,10,,10.5,,1996,0,0,,,1996-04-10 00:00:00,,,MERRITT STP,0,4,,,1125079.1996.4.10,,16,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,3,,9.5,0,,,,11,,8.5,,1996,0,0,,,1996-04-11 00:00:00,,,MERRITT STP,0,4,,T,1125079.1996.4.11,,14,1125079,BC,,T,0,
-120.80083472222222,50.11416777777778,,2,,9.5,0,,,,12,,8.5,,1996,0,0,,,1996-04-12 00:00:00,,,MERRITT STP,0,4,,,1125079.1996.4.12,,15,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,-1.5,,11.7,0,,,,13,,6.3,,1996,0,0,,,1996-04-13 00:00:00,,,MERRITT STP,0,4,,,1125079.1996.4.13,,14,1125079,BC,,,0,
-120.80083472222222,50.11416777777778,,0,,8.5,0,,,,14,,9.5,,1996,0,0,,,1996-04-14 00:00:00,,,MERRITT STP,0,4,,,1125079.1996.4.14,,19,1125079,BC,,,0,
